brand	type	filename	url	source_note
aiper	products	aiper-experts-duo-official.webp	https://d1ynqtbpih48ow.cloudfront.net/assets/images/2026/02/newhome-product-Aiper-Experts-Duo-pc.webp	Official Aiper homepage product image; retry after first-pass CloudFront timeout
aiper	products	aiper-scuba-v3-official.webp	https://d37n9tvxdh0i74.cloudfront.net/20260106/1767680603760home-product-n31-pc.webp	Official Aiper homepage Scuba V3 product image; retry after first-pass CloudFront timeout
aiper	evidence	aiper-ces-2026-official-event.webp	https://d1ynqtbpih48ow.cloudfront.net/assets/images/2026/01/ces-banner-bottom-video-1-poster.webp	Official Aiper homepage CES 2026 event image; evidence/event only
aiper	evidence	aiper-piscina-barcelona-2025-official-event.png	https://d1ynqtbpih48ow.cloudfront.net/assets/images/2025/11/home_events_8_basai.png	Official Aiper homepage Piscina Barcelona 2025 event image; evidence/event only
aiper	evidence	aiper-ces-2025-official-event.webp	https://d1ynqtbpih48ow.cloudfront.net/wp-content/uploads/2025/01/home_events_.webp	Official Aiper homepage CES 2025 event image; evidence/event only
dreame	products	dreame-matrix-series-official.webp	https://www.dreametech.com/cdn/shop/files/robot-vacuums-matrix-series-nav.webp?v=1763091920&width=1000	Official Dreame homepage robot vacuum navigation image; product evidence only pending review
irobot	logos	irobot-official-logo-current.svg	https://www.irobot.com/on/demandware.static/Sites-iRobotUS-Site/-/default/dw2924d042/images/irobot-logo.svg	Official iRobot homepage logo URL with current static hash; retry after previous 403
irobot	products	irobot-roomba-max-705-official.png	https://www.irobot.com/dw/image/v2/BFXP_PRD/on/demandware.static/-/Sites-site-catalog-irobot/default/dw3b48489b/705-series.png?fmt=auto&sw=300	Official iRobot homepage Roomba Max 705 product image; retry after previous 403
irobot	evidence	irobot-2026-homepage-banner-official.jpg	https://www.irobot.com/dw/image/v2/BFXP_PRD/on/demandware.static/-/Library-Sites-iRobotSharedLibrary/default/dw455d1109/North-America/Page-Designer-Images/Hero-Banner/2026/Roomba_Plus_405_Combo_Max_705_Vac_2026_FathersDay_Homepage_Banner_Desktop_3000x1000.jpg?fmt=auto&sw=1440	Official iRobot homepage banner; evidence only if download succeeds
irobot	logos	irobot-media-kit-logo-black-print.jpg	https://media.irobot.com/image/THUMBiRobot_Logo_Black_Print1.jpg	Official iRobot Press Center media-kit logo candidate; clean black wordmark but verify resolution before final use
irobot	logos	irobot-media-kit-logo-black-web.jpg	https://media.irobot.com/image/THUMBiRobot_Logo_Black_Web1.jpg	Official iRobot Press Center media-kit logo candidate; clean black web wordmark but verify resolution before final use
irobot	products	irobot-roomba-max-705-media-kit-black.jpg	https://media.irobot.com/file.php/182895/Roomba_Max_705_Vac_AutoEmpty_Black_Photo_InSitu_75Days_DustCloud_4000x4000.jpg	Official iRobot Press Center Roomba Max 705 Vac press photo; product evidence pending review
irobot	products	irobot-roomba-max-705-media-kit-white.jpg	https://media.irobot.com/file.php/182896/Roomba_Max_705_Vac_AutoEmpty_White_Photo_InSitu_75Days_DustCloud_4000x4000.jpg	Official iRobot Press Center Roomba Max 705 Vac press photo; product evidence pending review
